age,revenu,region,niveau_etudes
23,22666,Ile-de-France,Bac
27,54832,Ile-de-France,Doctorat
27,25660,Auvergne-Rhone-Alpes,Bac
48,64156,Hauts-de-France,Doctorat
22,33736,Nouvelle-Aquitaine,Bac+3
35,39486,Nouvelle-Aquitaine,Bac+2
27,24197,Nouvelle-Aquitaine,Bac
51,44519,Occitanie,Bac
57,37725,Nouvelle-Aquitaine,Bac
34,52740,Ile-de-France,Doctorat
40,45242,Occitanie,Bac+2
51,47533,Nouvelle-Aquitaine,Bac+3
45,38046,Provence-Alpes-Cote-dAzur,Bac+2
60,44750,Hauts-de-France,Bac
32,32265,Provence-Alpes-Cote-dAzur,Bac+2
36,67365,Ile-de-France,Doctorat
24,26131,Hauts-de-France,Bac+2
35,42392,Occitanie,Bac+3
31,48627,Nouvelle-Aquitaine,Bac+5
49,75621,Occitanie,Doctorat
36,46027,Ile-de-France,Bac+3
31,31831,Provence-Alpes-Cote-dAzur,Bac
60,52370,Hauts-de-France,Bac+5
57,68317,Ile-de-France,Bac+3
56,48533,Nouvelle-Aquitaine,Bac
32,46083,Provence-Alpes-Cote-dAzur,Bac+5
54,55085,Provence-Alpes-Cote-dAzur,Bac+3
62,58842,Auvergne-Rhone-Alpes,Bac+3
45,37825,Hauts-de-France,Bac+2
60,43373,Ile-de-France,Bac
45,42063,Ile-de-France,Bac
58,53843,Ile-de-France,Bac+2
26,42667,Provence-Alpes-Cote-dAzur,Bac+5
57,60658,Hauts-de-France,Bac+5
49,77057,Provence-Alpes-Cote-dAzur,Doctorat
41,36057,Provence-Alpes-Cote-dAzur,Bac+2
50,52475,Ile-de-France,Bac+3
23,33933,Auvergne-Rhone-Alpes,Bac+3
36,57102,Ile-de-France,Doctorat
43,32483,Auvergne-Rhone-Alpes,Bac
53,55186,Hauts-de-France,Bac+3
52,72527,Occitanie,Doctorat
34,48016,Occitanie,Bac+5
25,41563,Provence-Alpes-Cote-dAzur,Bac+5
25,21289,Auvergne-Rhone-Alpes,Bac
34,40566,Auvergne-Rhone-Alpes,Bac+2
33,49627,Occitanie,Bac+5
28,62080,Hauts-de-France,Doctorat
27,26637,Occitanie,Bac
35,50443,Ile-de-France,Bac+5
